ye,ma,co,zcode,brd,type,brand,model,org,loc,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,pr,princ,eurpr,exppr,avexr,avdexr,avcpr,avppr,avdcpr,avdppr,xexr,tax,pop,ngdp,rgdp,engdp,ergdp,engdpc,ergdpc
87,1,2,4,1,alfa 75,alfa romeo,75,3,5,3,0,4,997,1779,88.5,1060,5,4,433,163,140,7,9.199999809,12.19999981,9.466666222,190,9.5,557500,1.034561992,11586.67285,332.5617676,1676.380249,48.11562347,84.1166687,87.59421539,92.67410278,93.2513504,0.028702093,0.25,9870000,5.3187E+12,5.8643E+12,1.1054E+11,1.21879E+11,11199.59277,12348.46387
88,1,2,4,1,alfa 75,alfa romeo,75,3,5,3,0,4,1263,1567,81,1060,5,4,433,163,140,6.900000095,9.399999619,11.80000019,9.366666794,180,10.69999981,525000,0.913524985,10538.12598,298.1523438,1760.844849,49.81910324,88.3916626,90.70075226,93.75102234,94.78403473,0.028292727,0.25,9900000,5.6895E+12,6.1411E+12,1.14203E+11,1.23268E+11,11535.6748,12451.31152
89,1,2,4,1,alfa 75,alfa romeo,75,3,5,3,0,4,1200,1570,81,1090,5,4,433,163,140,6.900000095,9.399999619,11.80000019,9.366666794,180,10.69999981,530000,0.854201138,10628.38086,304.0663757,1743.040527,49.8664856,93.91667175,96.01751709,96.66241455,101.0056305,0.028608907,0.25,9940000,6.1674E+12,6.3614E+12,1.23678E+11,1.27569E+11,12442.48047,12833.86816
90,1,2,4,1,alfa 75,alfa romeo,75,3,5,3,0,4,1064,1570,79,1090,5,4,433,163,140,9.399999619,9.399999619,9.399999619,9.399999619,180,11.30000019,549000,0.835092425,12197.08496,338.5518799,1621.612549,45.01075363,99.96666718,100,100,100,0.027756786,0.25,9970000,6.5544E+12,6.5544E+12,1.45619E+11,1.45619E+11,14605.6709,14605.6709
91,1,2,4,1,alfa 75,alfa romeo,75,3,5,3,0,4,801,1570,76,1090,5,4,433,163,140,6.900000095,9.399999619,11.80000019,9.366666794,180,11.30000019,549000,0.797656059,11668.28711,321.6329956,1706.914429,47.05060959,106.25,103.3408051,103.2085495,98.95196533,0.027564716,0.25,9980000,6.8689E+12,6.6592E+12,1.4599E+11,1.41533E+11,14628.2168,14181.63379
92,1,2,4,1,alfa 75,alfa romeo,75,3,5,3,0,4,230,1570,77,1090,5,4,433,163,140,6.699999809,8.899999619,10,8.533332825,180,11.30000019,531111,0.738409281,11819.37305,295.438385,1797.704712,44.9356308,111.7416687,105.296402,105.7164307,97.17373657,0.024996113,0.194999993,10050000,7.2286E+12,6.7586E+12,1.60866E+11,1.50406E+11,16006.53418,14965.7959
89,1,3,1,1,alfa 164,alfa romeo,164,3,5,5,0,4,920,1962,109,1200,5,4,455.5,176,140,6.5,8.5,10,8.333333015,210,9.199999809,882500,1.422325492,17697.25586,506.2991943,1743.040527,49.8664856,93.91667175,96.01751709,96.66241455,101.0056305,0.028608907,0.25,9940000,6.1674E+12,6.3614E+12,1.23678E+11,1.27569E+11,12442.48047,12833.86816
90,1,3,1,1,alfa 164,alfa romeo,164,3,5,5,0,4,895,1962,109,1200,5,4,455.5,176,140,8.300000191,8.300000191,8.300000191,8.300000191,210,9.199999809,900000,1.369004011,19995.22266,555.0031128,1621.612549,45.01075363,99.96666718,100,100,100,0.027756786,0.25,9970000,6.5544E+12,6.5544E+12,1.45619E+11,1.45619E+11,14605.6709,14605.6709
91,1,3,1,1,alfa 164,alfa romeo,164,3,5,5,0,4,1018,1962,107,1200,5,4,455.5,176,140,6.5,8.5,10,8.333333015,210,9.199999809,915000,1.329426765,19447.14453,536.0549927,1706.914429,47.05060959,106.25,103.3408051,103.2085495,98.95196533,0.027564716,0.25,9980000,6.8689E+12,6.6592E+12,1.4599E+11,1.41533E+11,14628.2168,14181.63379
92,1,3,1,1,alfa 164,alfa romeo,164,3,5,5,0,4,664,1962,107,1300,5,4,455.5,176,140,6.400000095,8,10,8.133333206,210,9.300000191,890992,1.238755703,19828.18555,495.6275635,1797.704712,44.9356308,111.7416687,105.296402,105.7164307,97.17373657,0.024996113,0.194999993,10050000,7.2286E+12,6.7586E+12,1.60866E+11,1.50406E+11,16006.53418,14965.7959
